Navn;Stasjon;Tid(norsk normaltid);Snødybde
Folgefonna Skisenter;SN49085;15.03.2017;173
Folgefonna Skisenter;SN49085;16.03.2017;179
Folgefonna Skisenter;SN49085;17.03.2017;194
Folgefonna Skisenter;SN49085;18.03.2017;216
Folgefonna Skisenter;SN49085;19.03.2017;212
Folgefonna Skisenter;SN49085;20.03.2017;194
Folgefonna Skisenter;SN49085;21.03.2017;191
Folgefonna Skisenter;SN49085;22.03.2017;214
Folgefonna Skisenter;SN49085;23.03.2017;218
Folgefonna Skisenter;SN49085;24.03.2017;218
Folgefonna Skisenter;SN49085;25.03.2017;235
Folgefonna Skisenter;SN49085;26.03.2017;229
Folgefonna Skisenter;SN49085;27.03.2017;214
Folgefonna Skisenter;SN49085;28.03.2017;206
Folgefonna Skisenter;SN49085;29.03.2017;204
Folgefonna Skisenter;SN49085;30.03.2017;205
Folgefonna Skisenter;SN49085;31.03.2017;206
Folgefonna Skisenter;SN49085;01.04.2017;199
Folgefonna Skisenter;SN49085;02.04.2017;203
Folgefonna Skisenter;SN49085;03.04.2017;204
Folgefonna Skisenter;SN49085;04.04.2017;204
